"ID","SalaryPreds"
871,5582.49376569986
872,2771.84054430922
873,12957.6501909351
874,2345.64242032907
875,2897.41986610968
876,5081.25168394546
877,5426.82889807055
878,2123.35482693503
879,2979.02547888928
880,13451.3495836864
881,9847.42235638156
882,2601.06220562199
883,5669.46225636494
884,5504.51042384967
885,5948.81431641301
886,5621.49560969794
887,5922.98550000293
888,5679.5542070606
889,4505.60999257206
890,2827.83807802943
891,4763.13989548246
892,9130.95220973585
893,9019.6133926929
894,5446.09839937031
895,10108.8440905653
896,9310.51454465641
897,8820.65082794101
898,16199.2330792606
899,5734.46276898856
900,2794.43104936458
901,2723.19992201197
902,5614.38432853131
903,6102.43028041967
904,2807.23260333639
905,16252.23875518
906,5395.63499129649
907,9440.82239143651
908,5998.15671662846
909,2689.49658897717
910,2740.24351780923
911,19298.7079560986
912,2894.82323971221
913,2686.12608910482
914,12972.7375038002
915,5794.5973000967
916,4368.66870911816
917,2693.80973634075
918,5602.3920261576
919,2463.78531824989
920,2923.7939275572
921,2592.64604044294
922,2606.29028207452
923,4581.52141497168
924,4310.72822332942
925,17047.5696458578
926,2924.9528789201
927,5839.8137943968
928,12881.6778004729
929,2240.64482203753
930,2746.22411491183
931,5863.57927933778
932,12565.2987192689
933,9061.62973335511
934,2474.26752781601
935,2408.4345490418
936,2448.65318155067
937,9400.67672874693
938,9524.26757507977
939,5106.93201143393
940,2502.26317004594
941,3155.48751128353
942,9254.91577536324
943,9949.81985065767
944,5700.2781652146
945,2391.17719167049
946,5595.59635877711
947,2439.976428921
948,2717.55242430468
949,2670.1461981204
950,5535.82068247254
951,2604.41952532255
952,5692.46727850191
953,5587.80112718998
954,2618.17568541931
955,4195.19103739036
956,7615.62708376413
957,10593.6733507974
958,2567.22164820442
959,9672.20128041394
960,19879.6690016218
961,2942.77072949539
962,4902.89799054284
963,5825.67743344925
964,4655.2352081308
965,2868.05729906836
966,19408.5479315706
967,2773.0996262467
968,8975.11281736535
969,16868.6792034354
970,2831.19420075821
971,5763.76831221299
972,5768.96298654864
973,2568.7326023367
974,2676.08245864144
975,5773.77155431383
976,2891.65404739369
977,6212.88993131023
978,2887.91073079087
979,9315.12447547034
980,19399.7283044967
981,2653.95369905319
982,9291.72899846136
983,2766.96017177111
984,2686.69659788202
985,5752.05598690367
986,2726.62147391761
987,2673.2993573937
988,5700.27460879431
989,9538.49029312254
990,2757.54485644716
991,4924.96551062884
992,2881.32855322633
993,4940.81481944703
994,5568.36386496478
995,5138.69719366974
996,5025.10987593178
997,2790.24803794083
998,16752.5217307034
999,9196.92503641982
1000,2331.15714567579
1001,4951.74101012392
1002,4362.94478853674
1003,4891.13354558979
1004,6428.65869645195
1005,3119.88165419854
1006,5729.13967336151
1007,2543.02042877066
1008,5869.8172907516
1009,19473.3077424493
1010,4779.21630153435
1011,9361.73910611581
1012,4905.60910230007
1013,5888.03172475155
1014,4453.45577537383
1015,5512.90436893037
1016,2887.63397848696
1017,2762.71117783327
1018,9064.6875037747
1019,9191.22135292078
1020,2250.20178462914
1021,5785.74624090442
1022,5309.67949849964
1023,4726.59259008589
1024,9410.25973543448
1025,16466.8170681415
1026,18781.8727900575
1027,4597.84396651725
1028,5571.86644160536
1029,5489.91921664019
1030,8735.71661521687
1031,5542.92840721887
1032,2962.08809721449
1033,12472.1475060709
1034,2590.28501804452
1035,4328.14804542832
1036,2836.47335160242
1037,5495.41541266112
1038,8188.95946866346
1039,12527.7931815332
1040,5822.6708023446
1041,2528.00927282159
1042,3038.64082559215
1043,8957.89752758076
1044,6268.75684537164
1045,2628.64072986621
1046,2422.61123916968
1047,5899.84142647603
1048,12591.8882740459
1049,2852.20287885011
1050,5729.41336220458
1051,10224.134027976
1052,2591.76889394183
1053,5830.44420342738
1054,2914.22370227348
1055,2785.35253842944
1056,2740.64720028849
1057,5631.87686357926
1058,15909.5869422827
1059,5264.96730173382
1060,3084.14764418968
1061,4805.9028722928
1062,5762.60247561939
1063,5945.39034808452
1064,2427.48574012078
1065,5562.30339789656
1066,2687.47899103717
1067,3598.6823053376
1068,19653.5651461669
1069,5432.74275341326
1070,2575.19876216642
1071,2709.00033506026
1072,6013.85231466653
1073,2543.32804682336
1074,5800.92752188657
1075,5717.48723883743
1076,16253.7778365403
1077,19483.9200044938
1078,4565.08037996513
1079,4806.41531808215
1080,4996.0790018792
1081,3153.61094880896
1082,2694.21017170112
1083,2350.00905593439
1084,6074.17779221641
1085,8864.25925551804
1086,9247.81702093808
1087,5726.24869275607
1088,2871.3627967554
1089,2947.44731954889
1090,5494.80960475152
1091,5530.1707980299
1092,5549.05486518073
1093,12445.2411289873
1094,5523.51565064607
1095,5335.56686152114
1096,5776.07080873091
1097,3427.84594014629
1098,2608.77699167064
1099,2812.68078842647
1100,5942.97090943712
1101,19199.5524668714
1102,5687.1233326993
1103,5762.27918858506
1104,10134.9337132769
1105,2949.63967493705
1106,2771.94842366692
1107,3160.55286406992
1108,4737.22147370565
1109,5583.5588970679
1110,5668.51079248016
1111,5580.6630994482
1112,12442.7170231556
1113,13093.1245426389
1114,6058.81695062791
1115,9746.40670436478
1116,2887.24435537053
1117,6481.81382666923
1118,4340.14447887331
1119,9750.06296942707
1120,2652.48247611215
1121,9482.69248421825
1122,16493.8463727768
1123,4652.30096764896
1124,16250.1291948502
1125,2787.3483058651
1126,2134.28475908921
1127,2616.3769969372
1128,4491.8851807228
1129,15992.9277668441
1130,2563.26258674227
1131,12518.3408511804
1132,16442.9795798539
1133,5770.04219963791
1134,2197.49472160782
1135,2778.78570668906
1136,2651.43225157556
1137,3082.97274682438
1138,5682.26785412637
1139,9291.35107033083
1140,16081.6403427957
1141,5887.87037693772
1142,5855.46238419121
1143,9991.89541001821
1144,5600.84617634299
1145,4774.61698402832
1146,5617.87382613784
1147,4436.76603277105
1148,2521.04552705629
1149,2777.9221559388
1150,5844.20294448626
1151,2711.03277490844
1152,5515.68945319407
1153,5113.64025879027
1154,2564.43296008495
1155,6151.05320524228
1156,12753.9153448683
1157,2538.12492925927
1158,4815.16223240494
1159,2766.28546019023
1160,5654.92625657684
1161,3020.47407192279
1162,9033.1749711483
1163,2807.70022039051
1164,9239.33860040837
1165,2843.35635640691
1166,2099.07253242647
1167,9292.86066179463
1168,5652.55458463306
1169,2878.78953917581
1170,2967.98629745463
